Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_004,target_business_002,202,141,31,0.20179331432470798,0.15229263797567433,55.84309270905648,0.21179843517709634,73.67739049894557,0.19771241477896812,62.274299918753876,50,0.03835568204522133,True
traffic_source_campaign_name_040,target_business_001,130,91,20,0.3712643452761695,0.1743373414327187,91.8348405212809,0.08424815083153389,34.24717352120422,0.08781388954000455,32.154717116309016,50,0.027623187750577927,True
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.1001559303808792,21.411615573675157,0.3883267115736259,77.85679790201283,0.36429860326807934,69.28673803852396,50,0.017519261687994003,True
traffic_source_campaign_name_1070,target_business_004,137,95,22,0.379248510449992,0.12268533359181207,34.20952663315596,0.044306028157099824,11.765947545504558,0.045623969345340305,12.252143267304142,50,0.027288030833005905,True
traffic_source_campaign_name_1111,target_business_004,81,56,13,0.27167064280340364,0.2592956054014858,61.81579131807713,0.08684475785559277,24.51800786788862,0.08219765195769302,22.87144041548069,50,0.08574096858501434,True
traffic_source_campaign_name_1174,target_business_002,116,81,18,0.171855809522244,0.2400902199720021,254.57029680970734,0.0561797362253208,56.389255222956905,0.051614875773930126,52.74330617131242,50,0.02535158209502697,True
traffic_source_campaign_name_1183,target_business_002,201,140,31,0.23485955780564324,0.17832370287728208,57.768602685097235,0.23477715462794216,87.28526753158071,0.20763308398730493,68.00527378447278,50,0.01823459006845951,True
traffic_source_campaign_name_1214,target_business_002,44,30,8,0.3941418767259599,0.034718139328206554,14.192956059735373,,,,,50,0.009537536650896072,True
traffic_source_campaign_name_1256,target_business_002,554,387,84,0.08923872851930903,0.06550726552603879,223.2823042749492,0.019001397985673255,30.91184849957436,0.020231998157367027,36.938466112586994,50,0.004316193517297506,True
traffic_source_campaign_name_127,target_business_002,271,189,42,0.16564296064235282,0.10025395635616535,30.972438517791034,0.10103750451573458,30.10473379836646,0.12748862736893593,39.49453507432444,50,0.005271589383482933,True
traffic_source_campaign_name_1463,target_business_002,259,181,40,0.26471674114478394,0.041836874762452285,23.470616502324766,0.08111335940572037,31.342167474599446,0.08714688815347217,34.78496795069368,50,0.008763746358454227,True
