Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_004,target_business_002,202,141,31,0.20179331432470798,0.2263373677897432,70.74072960663644,0.2091655413133796,71.6806576336002,0.19686774856515257,60.877812498747645,50,0.05068744346499443,True
traffic_source_campaign_name_016,target_business_002,152,106,24,0.22923808142110044,0.2047215035037691,50.736559541414394,0.17979703476067257,48.37617978497404,0.17187937538168227,45.646314784527696,50,0.04927900806069374,True
traffic_source_campaign_name_025,target_business_002,76,53,12,0.2465011851667905,0.1812505895804487,44.926729997438706,0.15284672577517297,35.801683247735944,0.153048646443829,33.81731358020502,50,0.04335731267929077,True
traffic_source_campaign_name_040,target_business_001,130,91,20,0.3712643452761695,0.132713347031789,53.700416242112055,0.09663744143905242,43.416695708131314,0.0959633522512028,38.91818054014449,50,0.0385405533015728,True
traffic_source_campaign_name_041,target_business_001,53,37,9,0.14465728296450123,0.47638410252147706,257.08072648940686,0.0480120030007502,28.824020016680592,0.0480120030007502,28.824020016680592,50,0.0766025260090828,True
traffic_source_campaign_name_044,target_business_001,53,37,9,0.2741870994097755,0.24233774848356443,172.54354253807188,0.020862024993624106,16.28184713375799,0.020862024993624106,16.28184713375799,50,0.13612401485443115,True
traffic_source_campaign_name_075,target_business_003,56,39,9,0.25023798861550295,0.11010175861825254,46.4071707841005,0.08646805467465439,32.605545598741166,0.08843215447245137,32.962401611454666,50,0.025199446827173233,True
traffic_source_campaign_name_096,target_business_003,65,45,11,0.15144852784296167,0.1059217992626051,211.55724079286,0.0626398037642833,92.52913768673247,0.06976591603387615,96.02898768178443,50,0.023097528144717216,True
traffic_source_campaign_name_1002,target_business_005,51,35,9,0.29793228094718943,0.3387513191120175,87.61644637450755,0.19365926073638323,60.476038089966345,0.19365926073638323,60.476038089966345,50,0.09319247305393219,True
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.3072273967192119,53.76103393765993,0.33843914703667854,66.4243088466819,0.3087995903696533,58.01612440922332,50,0.09541353583335876,True
traffic_source_campaign_name_1010,target_business_005,65,45,11,0.2927688664700683,0.6368170205208097,252.77008869408485,0.29077894708179747,93.38129383873354,0.29077894708179747,93.38129383873354,50,0.03582664951682091,True
traffic_source_campaign_name_1032,target_business_005,109,76,17,0.5450646853541988,0.17906561819684982,20.11995551190509,0.0787506305804116,9.058454894355467,0.0771209305155641,8.782266843637595,50,0.06439781188964844,True
traffic_source_campaign_name_1033,target_business_005,83,58,13,0.44218518556893527,0.38525819207033113,613.7696497175264,0.26293850774856736,340.32105716237254,0.301001877068622,437.33174822064143,50,0.11367569118738174,True
traffic_source_campaign_name_1034,target_business_005,50,35,8,0.47664878415435114,0.18544777025256248,48.04783138361847,,,,,50,0.09779813140630722,True
traffic_source_campaign_name_106,target_business_004,172,120,27,0.20322461007110695,0.15971150081527596,89.98345220849318,0.18774644051765638,95.55226768353428,0.15410219377105377,80.3661610165745,50,0.03151508420705795,True
traffic_source_campaign_name_1064,target_business_004,103,72,16,0.04367038264778654,0.03391646189287491,52.4069779907245,0.0196107562077725,23.877779575379538,0.018220622235388874,20.95995634006327,50,0.018060989677906036,True
traffic_source_campaign_name_107,target_business_004,107,74,17,0.26609580881660067,0.12513297644672455,28.68883659362234,0.13874173037627516,34.06890283391454,0.12769385542192074,31.568444665609903,50,0.04414685070514679,True
traffic_source_campaign_name_1070,target_business_004,137,95,22,0.379248510449992,0.10190214732979014,20.327080147280714,0.08529801599845774,15.341193134655024,0.08535228647076547,15.67570738464879,50,0.059713419526815414,True
traffic_source_campaign_name_1087,target_business_004,69,48,11,0.3355181628240531,0.12861313452432627,26.42372048210649,0.09479154338833175,16.59363461781722,0.10525495504230922,17.479991115700198,50,0.02840357832610607,True
traffic_source_campaign_name_1089,target_business_004,58,40,10,0.3695451436804233,0.09041440575360157,13.226230548442896,0.053437577289365615,7.968534553391643,0.05626711315813176,8.265327974112365,50,0.019827937707304955,True
traffic_source_campaign_name_1091,target_business_002,66,46,11,0.2912379445059799,0.6866501206004096,107.45658712527893,0.18783355308595473,27.530283165322437,0.16932626200791115,23.98891685307398,50,0.1791858971118927,True
traffic_source_campaign_name_1092,target_business_002,81,56,13,0.2910466154170142,0.2626737946933662,36.061862869786935,0.2683998465080583,47.719850370931944,0.2598516244563827,47.60736952439791,50,0.08294766396284103,True
traffic_source_campaign_name_1093,target_business_002,71,49,12,0.3523790375701203,0.07327094146906694,15.726932510382948,0.14510631795663642,48.092875023318385,0.14912661648330433,48.91632498049042,50,0.08636219054460526,True
traffic_source_campaign_name_1095,target_business_002,137,95,22,0.21162541993110529,0.3015869724607898,118.14076132922273,0.2118295370515933,63.056824602408504,0.1892378812605585,59.39411858968408,50,0.058925237506628036,True
traffic_source_campaign_name_1097,target_business_002,109,76,17,0.24777959439623673,0.3079189343329812,79.47459459107303,0.33941212490153533,122.2206725862099,0.3065509008758662,119.09137295725249,50,0.027046261355280876,True
traffic_source_campaign_name_1098,target_business_002,125,87,20,0.2265617598594065,0.202837404382932,76.25079086168205,0.17379873757965633,79.27336859886805,0.1810927568857066,80.8415521383458,50,0.041475724428892136,True
traffic_source_campaign_name_1099,target_business_002,176,123,27,0.23034343825310105,0.1367721233745268,56.31955464929048,0.13601486784061315,60.593826335820324,0.13753016684534505,59.123417279308875,50,0.027068858966231346,True
traffic_source_campaign_name_1103,target_business_001,62,43,10,0.33820464909039455,0.30984579590052774,63.84252871693861,0.1489894587734063,24.93097377461725,0.14420603661945522,24.342502720842884,50,0.07857749611139297,True
traffic_source_campaign_name_1105,target_business_001,53,37,9,0.4308348397046755,0.08964594805385386,16.343391995743684,0.08885774827247866,19.783290089675045,0.10980832588925186,24.754538362379765,50,0.05399266630411148,True
traffic_source_campaign_name_1111,target_business_004,81,56,13,0.27167064280340364,0.18288847886651913,45.93442608561901,0.1337164298565323,28.383896272010073,0.13167425199282717,27.29536581480856,50,0.049403104931116104,True
