Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_004,target_business_002,202,141,31,0.20179331432470798,0.15308345599819703,46.676650088735535,0.21179843517709634,73.67739049894557,0.19771241477896812,62.274299918753876,200,0.01620890013873577,False
traffic_source_campaign_name_015,target_business_002,30,21,5,0.3790162538297761,0.6440623263886347,207.1208673674831,,,,,200,0.05274694785475731,False
traffic_source_campaign_name_016,target_business_002,152,106,24,0.22923808142110044,0.17543083122364844,32.878177930358696,0.18210913966253797,49.849204245573695,0.17112071339252596,46.63133809238487,200,0.016139360144734383,False
traffic_source_campaign_name_023,target_business_002,39,27,7,0.5880672781933286,0.27511705363354905,49.5427004107577,0.2792116846738696,55.68582000858461,0.28093800020008003,57.588596539848695,200,0.05884959548711777,False
traffic_source_campaign_name_025,target_business_002,76,53,12,0.2465011851667905,0.14509964857834187,44.84234456044039,0.1434182749762063,36.9468035074558,0.1313066217985874,32.44063005165175,200,0.010012841783463955,False
traffic_source_campaign_name_037,target_business_002,30,21,5,0.2641734276037032,0.6332806381888834,377.84541041480117,0.09018968583283934,39.97635312664214,0.09018968583283934,39.97635312664214,200,0.03278401494026184,False
traffic_source_campaign_name_040,target_business_001,130,91,20,0.3712643452761695,0.17064808401385592,70.57373264431483,0.08424815083153389,34.24717352120422,0.08781388954000455,32.154717116309016,200,0.025499852374196053,False
traffic_source_campaign_name_052,target_business_001,40,28,6,0.46233162560808383,0.11193805935786338,25.307953605928148,0.4513262510857219,105.64591804817016,0.4513262510857219,105.64591804817016,200,0.01080083567649126,False
traffic_source_campaign_name_058,target_business_001,31,21,6,0.19041611785142581,0.3192042057326141,317.96485722248,0.10366472229267058,129.86497220015903,0.10366472229267058,129.86497220015903,200,0.009064290672540665,False
traffic_source_campaign_name_059,target_business_001,42,29,7,0.3777215768875275,1.0660086957133885,742.3512735143613,0.4574027926960259,198.94952271583583,0.4574027926960259,198.94952271583583,200,0.03052051179111004,False
traffic_source_campaign_name_060,target_business_001,33,23,6,0.3037949889351343,0.4250124455415784,115.2278799586095,0.46806374701970144,156.58677672369072,0.46806374701970144,156.58677672369072,200,0.011974492110311985,False
traffic_source_campaign_name_061,target_business_001,30,21,5,0.4261929308901828,0.37118565986328106,102.06690193281014,,,,,200,0.014553428627550602,False
traffic_source_campaign_name_066,target_business_001,39,27,7,0.4154496838081296,0.7050460280602865,96.12552627060248,0.3778623116574147,38.71488224580102,0.3778623116574147,38.71488224580102,200,0.020541727542877197,False
traffic_source_campaign_name_075,target_business_003,56,39,9,0.25023798861550295,0.09822868648712292,41.99275988037049,0.07488175851460246,32.50366268452146,0.07154049495861366,31.50893797358179,200,0.011341030709445477,False
traffic_source_campaign_name_096,target_business_003,65,45,11,0.15144852784296167,0.07647685573318837,119.77297035440432,0.070776893629332,106.76670290157213,0.06894103996402205,105.63171196610905,200,0.006717085838317871,False
traffic_source_campaign_name_1004,target_business_005,30,21,5,0.6539341497541632,0.4135968208737918,56.770327652492234,,,,,200,0.06878887116909027,False
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.2140307430478851,33.51664016097992,0.3883267115736259,77.85679790201283,0.36429860326807934,69.28673803852396,200,0.011022507213056087,False
traffic_source_campaign_name_1010,target_business_005,65,45,11,0.2927688664700683,0.06513361507856753,49.306803378841565,0.12386396249323274,103.97591619314656,0.12386396249323274,103.97591619314656,200,0.006602818612009287,False
traffic_source_campaign_name_1011,target_business_005,42,29,7,0.1527868601953332,0.06010233514542277,42.85703794693694,0.051455798683839156,25.237533225737387,0.051455798683839156,25.237533225737387,200,0.010541940107941628,False
traffic_source_campaign_name_1032,target_business_005,109,76,17,0.5450646853541988,1.8547257400151915,206.92748405372393,0.06497151825870856,6.98895821334487,0.06483238495247375,6.90788568918983,200,0.015232332050800323,False
traffic_source_campaign_name_1033,target_business_005,83,58,13,0.44218518556893527,0.13886222846571042,30.729786196164348,0.2114776757256486,41.12169135907362,0.22544416945078732,45.608266918839995,200,0.010979917831718922,False
traffic_source_campaign_name_106,target_business_004,172,120,27,0.20322461007110695,0.14327443894013142,83.56121829915202,0.17906486624172277,98.22293365802302,0.14110176255887333,81.91382451511006,200,0.011120210401713848,False
traffic_source_campaign_name_1061,target_business_002,33,23,6,0.2091547652746998,0.20949060004961334,153.48988150067245,0.011393774797903822,8.783120706575161,0.011393774797903822,8.783120706575161,200,0.006724710110574961,False
traffic_source_campaign_name_1064,target_business_004,103,72,16,0.04367038264778654,0.1917464251942977,279.3361214001899,0.02220497124656661,27.00370840906592,0.02014946206050877,23.02696460272567,200,0.03190556541085243,False
traffic_source_campaign_name_1067,target_business_004,31,21,6,0.698166054912829,0.5690388083457947,91.1764833662245,0.1875,25.0,0.1875,25.0,200,0.021226711571216583,False
traffic_source_campaign_name_107,target_business_004,107,74,17,0.26609580881660067,0.132489567505764,38.45256068762501,0.1454605174026292,35.56412744911511,0.1364603409508076,33.64294606495091,200,0.006705010775476694,False
traffic_source_campaign_name_1070,target_business_004,137,95,22,0.379248510449992,0.10064803759868657,27.996427630002056,0.044306028157099824,11.765947545504558,0.045623969345340305,12.252143267304142,200,0.00915913749486208,False
traffic_source_campaign_name_1071,target_business_004,39,27,7,0.17777315551956965,0.48666879559779197,254.88191304628361,0.08979910326999095,48.07724688411375,0.08979910326999095,48.07724688411375,200,0.015218257904052734,False
traffic_source_campaign_name_1087,target_business_004,69,48,11,0.3355181628240531,0.08675218132716273,17.199821681445954,0.07755826119246198,15.378483561014814,0.0786254852814691,15.313793826149706,200,0.013337995857000351,False
traffic_source_campaign_name_1089,target_business_004,58,40,10,0.3695451436804233,0.08991005344072873,13.684055866557928,0.040750600448295815,6.618876295432549,0.04544142058488325,7.135371080716252,200,0.0048936172388494015,False
traffic_source_campaign_name_1091,target_business_002,66,46,11,0.2912379445059799,0.2572427328172871,38.08733298029923,0.17657123124254415,22.57136411790893,0.17657123124254415,22.57136411790893,200,0.049236003309488297,False
traffic_source_campaign_name_1092,target_business_002,81,56,13,0.2910466154170142,0.12604031752186012,15.677026921994164,0.23467478894858018,48.40917125243498,0.2475697109235098,50.89744719961503,200,0.009442743845283985,False
traffic_source_campaign_name_1093,target_business_002,71,49,12,0.3523790375701203,0.1699494220418512,62.39099609563716,0.16154860709000832,57.5845524349479,0.16154860709000832,57.5845524349479,200,0.05178984999656677,False
traffic_source_campaign_name_1094,target_business_002,37,25,7,0.3941319330402507,0.4112657512443653,45.70555148117101,0.23558601134215498,50.44559888528654,0.23558601134215498,50.44559888528654,200,0.04994765296578407,False
traffic_source_campaign_name_1095,target_business_002,137,95,22,0.21162541993110529,0.1473834380962218,42.49463964467745,0.1771620800900788,62.627715766132106,0.1622892376449207,59.66296415746191,200,0.014347539283335209,False
traffic_source_campaign_name_1096,target_business_002,36,25,6,0.17824010723073117,0.8513261456697385,452.6943709605879,0.1469707036613781,54.85542347942538,0.1469707036613781,54.85542347942538,200,0.053205568343400955,False
traffic_source_campaign_name_1097,target_business_002,109,76,17,0.24777959439623673,0.23163941606433722,58.34684837694526,0.3676578594294679,132.94047512414645,0.3346324181265714,130.32169318009926,200,0.009744120761752129,False
traffic_source_campaign_name_1098,target_business_002,125,87,20,0.2265617598594065,0.14016573900220103,46.90568754734959,0.18373685817737648,84.50814339243941,0.19309438434231616,86.64621083295377,200,0.017996106296777725,False
traffic_source_campaign_name_1099,target_business_002,176,123,27,0.23034343825310105,0.1580860772669761,89.716963453475,0.12206839912295103,60.45563699256339,0.12218729989851135,58.662234850880125,200,0.01827615685760975,False
traffic_source_campaign_name_1100,target_business_001,30,21,5,0.49074826831935836,0.4495265131614287,134.3337744687456,0.06352533722201964,22.534866544648658,0.06352533722201964,22.534866544648658,200,0.09524261951446533,False
traffic_source_campaign_name_1101,target_business_001,36,25,6,0.21836701252854923,0.5398936493292974,390.7690564071986,0.1278809864057749,55.992299053425356,0.1278809864057749,55.992299053425356,200,0.07069772481918335,False
traffic_source_campaign_name_1103,target_business_001,62,43,10,0.33820464909039455,0.18196621841591265,45.09543693241643,0.057902802484794645,15.925831346849442,0.057902802484794645,15.925831346849442,200,0.015625715255737305,False
traffic_source_campaign_name_1111,target_business_004,81,56,13,0.27167064280340364,0.06815013764505032,20.535106310830074,0.08684475785559277,24.51800786788862,0.08219765195769302,22.87144041548069,200,0.014855625107884407,False
traffic_source_campaign_name_1125,target_business_002,35,24,6,0.5014627373410724,0.8247415534174916,180.57679435828305,0.3152844555415696,88.965878653779,0.3152844555415696,88.965878653779,200,0.04332108423113823,False
traffic_source_campaign_name_113,target_business_002,321,224,49,0.10275630018322492,0.047819257839218456,33.3256789132445,0.05898740012449381,33.95598959108702,0.051900700769860066,28.008009385177914,200,0.0031159110367298126,False
traffic_source_campaign_name_114,target_business_002,151,105,24,0.5191315394670876,0.06193059629471839,12.170124416190514,0.13319216114930285,25.134610018585253,0.15095159533180028,27.979796313607153,200,0.012692180462181568,False
traffic_source_campaign_name_1141,target_business_002,100,70,15,0.27706528282264636,0.06039254704407491,11.858937689798418,0.11106075150483041,22.500170410876915,0.0999777638094524,19.974285968325347,200,0.013821546919643879,False
traffic_source_campaign_name_1142,target_business_002,42,29,7,0.41641203001910493,0.2890060307796519,33.893183799606206,0.29317850318507954,34.18693015462257,0.3262961828866455,37.498698124779175,200,0.05975847691297531,False
traffic_source_campaign_name_1150,target_business_005,30,21,5,0.36188777184703785,0.17466882966580266,110.61611431359904,,,,,200,0.07894377410411835,False
traffic_source_campaign_name_1151,target_business_005,30,21,5,0.5586977846874294,0.02200380333701979,2.9608771535648306,,,,,200,0.003938674461096525,False
traffic_source_campaign_name_116,target_business_002,102,71,16,0.24449504494899105,0.2535952069232179,60.008083804656124,0.03269618423817414,7.507342967664302,0.052803074582788476,12.28420064594463,200,0.00569596653804183,False
traffic_source_campaign_name_1164,target_business_006,33,23,6,0.4795585090480561,0.14279382340404265,40.43828030813207,0.016620018329081387,4.537094636626747,0.016620018329081387,4.537094636626747,200,0.007953435182571411,False
