Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.36654463407845084,77.34051517008285,0.3883267115736259,77.85679790201283,0.36429860326807934,69.28673803852396,200,0.10630486160516739,False
traffic_source_campaign_name_1070,target_business_004,137,95,22,0.379248510449992,0.0999147803736433,27.29336136136769,0.044306028157099824,11.765947545504558,0.045623969345340305,12.252143267304142,200,0.008625120855867863,False
traffic_source_campaign_name_1111,target_business_004,81,56,13,0.27167064280340364,0.5526151093644794,140.4253513079142,0.08684475785559277,24.51800786788862,0.08219765195769302,22.87144041548069,200,0.016878673806786537,False
traffic_source_campaign_name_1183,target_business_002,201,140,31,0.23485955780564324,0.21880454314906908,56.390366867923326,0.23477715462794216,87.28526753158071,0.20763308398730493,68.00527378447278,200,0.01253085769712925,False
traffic_source_campaign_name_1256,target_business_002,554,387,84,0.08923872851930903,0.07860859383825315,243.60647261032594,0.019001397985673255,30.91184849957436,0.020231998157367027,36.938466112586994,200,0.004838981200009584,False
traffic_source_campaign_name_127,target_business_002,271,189,42,0.16564296064235282,0.10444743975373248,34.895092961066474,0.10103750451573458,30.10473379836646,0.12748862736893593,39.49453507432444,200,0.006391785107553005,False
traffic_source_campaign_name_1515,target_business_001,63,44,10,0.23934344190756707,0.2280099336845155,49.15858528526946,0.3852005106884473,67.38394933055399,0.3852005106884473,67.38394933055399,200,0.021757012233138084,False
traffic_source_campaign_name_1518,target_business_001,83,58,13,0.1851983808270657,0.14416665709864823,70.38493699743873,0.21185518299592723,70.29201855383802,0.20321837359212044,68.8948388689286,200,0.011571492999792099,False
traffic_source_campaign_name_1539,target_business_002,162,113,25,0.3521175688445859,0.051138454777882945,9.944564559804498,0.13078011961008085,27.97796403999827,0.13195047734130194,28.78373184134462,200,0.007604812737554312,False
traffic_source_campaign_name_1541,target_business_002,57,39,10,0.5778017407228353,0.0326764260817064,4.829977786406106,0.013210777598676282,1.9389154300985874,0.013210777598676282,1.9389154300985874,200,0.008288993500173092,False
traffic_source_campaign_name_1553,target_business_002,64,44,11,0.6004498926856183,0.042234346507802556,6.359502078573794,0.13472077092766743,16.229262798160832,0.13472077092766743,16.229262798160832,200,0.005273315589874983,False
traffic_source_campaign_name_1558,target_business_002,116,81,18,0.25077313484835245,0.10668111393966853,19.138088397538056,0.10781065145456267,19.8044076419251,0.15788905283972912,26.825824633365375,200,0.008027411997318268,False
traffic_source_campaign_name_1559,target_business_005,132,92,21,0.2858437919276854,0.05081182724846444,12.702291912098888,0.07041300626416384,18.871223194337336,0.07392782209117128,19.046135432450217,200,0.005469153169542551,False
traffic_source_campaign_name_1587,target_business_002,93,65,15,0.28822860934413275,0.13549963556612582,40.51685206179512,0.22142924061136546,67.79845798299843,0.1949651323898494,54.98278392587493,200,0.008711960166692734,False
traffic_source_campaign_name_1592,target_business_001,676,473,102,0.12719414697976855,0.031011980654106795,33.439967821838096,0.06227573382624841,62.967265048596424,0.05967084359050587,60.85342116170226,200,0.0034173359163105488,False
traffic_source_campaign_name_1597,target_business_001,101,70,16,0.3580105923522325,0.07249604885918806,20.3505598765907,0.04165027555555556,11.253866295781378,0.06588042380952382,18.075631779178096,200,0.048631567507982254,False
traffic_source_campaign_name_1635,target_business_001,157,109,25,0.551074719150377,0.10529307749787262,15.64225247401653,0.16113195970253388,24.11228205220029,0.16635467805884968,24.78104116953427,200,0.013511727564036846,False
traffic_source_campaign_name_1654,target_business_002,97,67,16,0.23971729719372895,0.09606576780586235,20.64101833270861,0.04973146985554209,10.361781699671118,0.08520322118524878,18.46659798640112,200,0.01731378771364689,False
traffic_source_campaign_name_1656,target_business_002,66,46,11,0.2624256311840111,0.10357332036392164,15.69771143970903,0.05870089458235215,9.217795530601903,0.0983432478919336,14.825040746808337,200,0.014478995464742184,False
traffic_source_campaign_name_1686,target_business_005,370,259,56,0.25615170767144363,0.08313058159251509,28.61122793795162,0.09659270643456443,26.565781004332063,0.107204781708173,32.21834934787227,200,0.005057761911302805,False
traffic_source_campaign_name_1697,target_business_002,148,103,23,0.1748589846295769,0.07804254874347162,32.05863999133339,0.07525849400038509,31.031022826967774,0.07051113066441102,28.15087984661586,200,0.008430241607129574,False
traffic_source_campaign_name_1754,target_business_004,108,75,17,0.3415706028542136,0.018524660714082677,4.149715229753671,0.05287515563864604,12.260626170284489,0.0689021797795732,15.623899797493573,200,0.003660761984065175,False
traffic_source_campaign_name_1785,target_business_002,94,65,15,0.2928062432664731,0.12044132009717227,54.44991537565287,0.038559782765943906,18.007268867805106,0.03246074278538734,14.970726790925848,200,0.13261649012565613,False
traffic_source_campaign_name_1943,target_business_002,201,140,31,0.4093512487179594,0.05231315676688647,11.52228067674299,0.11577445116714656,26.249780364868798,0.10715969855116603,24.32882899398912,200,0.007592582143843174,False
traffic_source_campaign_name_2068,target_business_005,112,78,18,0.27720461077629543,0.09883711643298794,17.33899494253785,0.06205709972060503,11.125038010694743,0.1061768181399925,18.46442871955445,200,0.019566606730222702,False
traffic_source_campaign_name_2069,target_business_005,62,43,10,0.6013028209145251,0.11027303120421234,14.304697229177002,0.2835039452895892,29.762879549727515,0.2835039452895892,29.762879549727515,200,0.013752399012446404,False
traffic_source_campaign_name_2095,target_business_001,84,58,14,0.2964665828408387,0.07077508267116338,17.67247038249312,0.08889693536755276,26.514283461437543,0.0832152249611859,25.02716950385806,200,0.007762164808809757,False
traffic_source_campaign_name_211,target_business_002,214,149,33,0.1953515346271461,0.19099488067443687,186.90874338353316,0.16457507747357378,104.25352174685376,0.16330494105891874,134.76669173385125,200,0.023611275479197502,False
traffic_source_campaign_name_2284,target_business_005,76,53,12,0.3699851054241736,0.17552093355067783,42.40036350394279,0.22752143044301346,60.93514500180394,0.22752143044301346,60.93514500180394,200,0.014058129861950874,False
traffic_source_campaign_name_2290,target_business_001,58,40,10,0.1398777947861242,0.08949370144353369,92.51862264351425,0.05500470675069757,77.10827086841974,0.07736888129397097,132.38715762234713,200,0.010111616924405098,False
traffic_source_campaign_name_2335,target_business_001,543,380,82,0.13676291628823448,0.04141415313704057,42.338279396164374,0.036495080156773364,29.67311437383608,0.03454669036982667,27.840634961732754,200,0.006243512500077486,False
traffic_source_campaign_name_2368,target_business_003,93,65,15,0.3835630695951245,0.5826979068373934,144.66444344103365,0.08998239334809593,22.00225105550901,0.09224224364136546,22.92696368215657,200,0.023180343210697174,False
traffic_source_campaign_name_2409,target_business_003,84,58,14,0.2995760988064282,0.22702832039184268,36.78978581607649,0.04135106751842077,7.899245359755891,0.060254358735388265,10.457763857591132,200,0.010344150476157665,False
traffic_source_campaign_name_2547,target_business_002,94,65,15,0.29393463847474366,0.2392322970607372,75.31437365264728,0.09356098552492124,21.657420425974948,0.08891313500878377,20.32381436786731,200,0.055611029267311096,False
traffic_source_campaign_name_2658,target_business_002,73,51,12,0.03721242054882337,0.3438348505800568,1172.3783226809137,0.002737022140246244,8.273814231598454,0.002737022140246244,8.273814231598454,200,0.017592662945389748,False
traffic_source_campaign_name_270,target_business_004,98,68,16,0.24532000598961687,0.0318329855736664,12.26605574615544,0.0720456763703886,30.311159562711172,0.09096038713434439,38.284618508469215,200,0.021620333194732666,False
traffic_source_campaign_name_2742,target_business_001,268,187,41,0.15168009929981574,0.03855907585408581,32.13501482667162,0.044266773393825225,34.00806292516885,0.055836941407899306,44.0060783044045,200,0.01170308142900467,False
traffic_source_campaign_name_2748,target_business_001,308,215,47,0.21227159412963537,0.07376547379251203,19.83790442649639,0.09166754813893639,28.18024811418717,0.0840363685016561,25.41202142571341,200,0.005768538452684879,False
traffic_source_campaign_name_2749,target_business_001,103,72,16,0.16665539776020136,0.036629795676429766,31.281323300162477,0.0440934609267875,34.0318192484796,0.060337774420523786,48.192759355726,200,0.003185558132827282,False
traffic_source_campaign_name_2754,target_business_002,299,209,46,0.18191755683255872,0.04478341451049492,36.25354576288877,0.07467711960348382,55.923101605552986,0.06850712576688933,53.22858964164937,200,0.010610041208565235,False
traffic_source_campaign_name_2787,target_business_004,94,65,15,0.35998451004044274,0.10732425298884375,19.32024903285647,0.13941104097259502,18.529627566696625,0.15391348792900114,20.714892242057328,200,0.0065278057008981705,False
traffic_source_campaign_name_500,target_business_001,393,275,60,0.18350153240426303,0.08269024289282796,46.42840561093143,0.07176613025774176,35.175656063168,0.07189855285443846,37.50100042879361,200,0.006493949797004461,False
traffic_source_campaign_name_515,target_business_001,183,128,28,0.21979459264542517,0.0778700231496904,22.162072211492067,0.09485672688346025,24.26880314961707,0.10020965913460281,25.23710651677833,200,0.008187858387827873,False
traffic_source_campaign_name_520,target_business_001,56,39,9,0.39814489548693077,0.5900901198654064,80.13245786313996,,,,,200,0.007173338904976845,False
traffic_source_campaign_name_523,target_business_001,74,51,12,0.19054796990900655,0.19742312160650788,34.542044121534445,0.2578147703754731,29.65201564267736,0.2578147703754731,29.65201564267736,200,0.01927570067346096,False
traffic_source_campaign_name_549,target_business_001,163,114,25,0.20529325173350774,0.09700938504224654,24.64192922617222,0.19372601571086737,55.43482847116654,0.16645925605045367,48.08258718896474,200,0.010160950012505054,False
traffic_source_campaign_name_552,target_business_004,432,302,66,0.21634895300668977,0.053873322281693656,16.019286790226342,0.08097903426614342,22.010848269086676,0.10925669101470424,27.561724741502886,200,0.008649452589452267,False
traffic_source_campaign_name_583,target_business_001,509,356,77,0.24512354982359874,0.08718786968676177,49.39558439844218,0.0682883118939364,30.289190767136105,0.07017603999647544,33.296200420251,200,0.006331289187073708,False
traffic_source_campaign_name_606,target_business_001,507,354,77,0.18224203446189446,0.037087800438329245,16.489813527827,0.06295272194199286,28.439499777915668,0.06296487699265116,28.955911911999078,200,0.005366303957998753,False
traffic_source_campaign_name_640,target_business_001,82,57,13,0.26814843338657496,0.2459730075182132,70.72418031942567,0.30826089216335967,105.88095985652015,0.28446955521771333,95.21564561368582,200,0.017388921231031418,False
traffic_source_campaign_name_641,target_business_001,106,74,17,0.4922606324088495,0.2805379392166703,101.6527652397747,0.08903022339623612,33.02087957439156,0.10892279050531928,36.52468886913653,200,0.01061708852648735,False
traffic_source_campaign_name_665,target_business_002,526,368,80,0.14465251468273654,0.02718383910530813,18.663946862007112,0.038462541370151045,23.299353362180636,0.038046101017240326,23.05983108373915,200,0.003990363795310259,False
traffic_source_campaign_name_941,target_business_002,73,51,12,0.31835995891655927,0.4469435687433229,118.47062493980512,0.2367438638163104,48.47656079556798,0.23515290973871739,48.12455760728404,200,0.011153976432979107,False
traffic_source_campaign_name_943,target_business_002,73,51,12,0.5610931577583398,0.05428011711085862,7.364953400731994,0.08117167512815959,12.778423281175929,0.08117167512815959,12.778423281175929,200,0.024834265932440758,False
traffic_source_campaign_name_981,target_business_005,480,336,72,0.38657802872165553,0.026427624706639556,6.50647712510383,0.04153216346198625,10.358836270455441,0.04477589271905404,11.119728982410303,200,0.0036319317296147346,False
