Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_1087,target_business_004,69,70,11,0.3355181628240531,0.11125144048538085,19.160653280640332,0.09479154338833175,16.59363461781722,0.10525495504230922,17.479991115700198,50,0.02624540403485298,True
traffic_source_campaign_name_1088,target_business_004,47,231,8,0.3870541643207302,0.4108723913342227,63.80987178068027,0.29961557158939717,36.082743966927104,0.30918670363831746,37.039857171819136,50,0.01731659099459648,True
traffic_source_campaign_name_1089,target_business_004,58,62,10,0.3695451436804233,0.19895853698572438,30.325568883354613,0.053437577289365615,7.968534553391643,0.05626711315813176,8.265327974112365,50,0.04451621323823929,True
traffic_source_campaign_name_1091,target_business_002,66,46,11,0.2912379445059799,0.19629554601740892,36.31505637141414,0.18783355308595473,27.530283165322437,0.16932626200791115,23.98891685307398,50,0.0938640907406807,True
traffic_source_campaign_name_1092,target_business_002,81,57,13,0.2910466154170142,0.501371090586044,67.40609887858228,0.2683998465080583,47.719850370931944,0.2598516244563827,47.60736952439791,50,0.08330737799406052,True
traffic_source_campaign_name_1093,target_business_002,71,49,12,0.3523790375701203,0.1313926345021355,33.202097442920504,0.14510631795663642,48.092875023318385,0.14912661648330433,48.91632498049042,50,0.07904655486345291,True
traffic_source_campaign_name_1095,target_business_002,137,95,22,0.21162541993110529,0.25935253457951696,70.40256035016519,0.2118295370515933,63.056824602408504,0.1892378812605585,59.39411858968408,50,0.03411269560456276,True
traffic_source_campaign_name_1097,target_business_002,109,78,17,0.24777959439623673,0.35228327639966195,103.87422382022721,0.33941212490153533,122.2206725862099,0.3065509008758662,119.09137295725249,50,0.038862936198711395,True
traffic_source_campaign_name_1098,target_business_002,125,87,20,0.2265617598594065,0.2984514001310868,97.942836590372,0.17379873757965633,79.27336859886805,0.1810927568857066,80.8415521383458,50,0.06410634517669678,True
traffic_source_campaign_name_1099,target_business_002,176,123,27,0.23034343825310105,0.14592664103229608,68.80085447992201,0.13601486784061315,60.593826335820324,0.13753016684534505,59.123417279308875,50,0.03558690473437309,True
traffic_source_campaign_name_1103,target_business_001,62,64,10,0.33820464909039455,0.19626290581442746,37.23869989408075,0.1489894587734063,24.93097377461725,0.14420603661945522,24.342502720842884,50,0.09502984583377838,True
traffic_source_campaign_name_1105,target_business_001,53,60,9,0.4308348397046755,0.18986490402241873,39.027654756629644,0.08885774827247866,19.783290089675045,0.10980832588925186,24.754538362379765,50,0.0732867568731308,True
traffic_source_campaign_name_1110,target_business_004,254,352,39,0.17140491083682466,0.0600850628755863,30.42047089135846,0.0406114692462678,21.138350998847137,0.04886744023919774,27.174212439240346,50,0.014452975243330002,True
traffic_source_campaign_name_1111,target_business_004,81,57,13,0.27167064280340364,0.17694523346814975,43.418905612270436,0.1337164298565323,28.383896272010073,0.13167425199282717,27.29536581480856,50,0.06377623230218887,True
traffic_source_campaign_name_1112,target_business_004,138,187,22,0.12122772029110046,0.14352205377704882,92.06999006738474,0.05674217078541164,40.2924358362003,0.05305741703522878,36.554285172230294,50,0.008974339812994003,True
traffic_source_campaign_name_1114,target_business_004,192,234,30,0.12110698780112361,0.07102232924750658,56.44343494347005,0.086612082882713,70.70407499475873,0.06569569709639018,51.37555025294465,50,0.007799207698553801,True
traffic_source_campaign_name_113,target_business_002,321,273,49,0.10275630018322492,0.05283485988723701,29.212478588781927,0.06412704126552538,38.335576862403954,0.05351573929250268,29.581716023521526,50,0.013020606711506844,True
