Campaign,Business,Total_Days,Train_Days,Test_Days,Avg_CPL,Test_MAE,Test_MAPE,SMA3_MAE,SMA3_MAPE,SMA7_MAE,SMA7_MAPE,Epochs_Trained,Final_Loss,Converged_Early
traffic_source_campaign_name_1002,target_business_005,51,35,9,0.29793228094718943,0.2962602599792069,72.61201700204927,0.19365926073638323,60.476038089966345,0.19365926073638323,60.476038089966345,50,0.054215580224990845,True
traffic_source_campaign_name_101,target_business_004,79,55,13,0.3926122060353049,0.3960793004762741,69.33492236022651,0.33843914703667854,66.4243088466819,0.3087995903696533,58.01612440922332,50,0.06008659675717354,True
traffic_source_campaign_name_1032,target_business_005,109,76,17,0.5450646853541988,0.12340773733407925,14.670514155864886,0.0787506305804116,9.058454894355467,0.0771209305155641,8.782266843637595,50,0.050205618143081665,True
traffic_source_campaign_name_1033,target_business_005,83,58,13,0.44218518556893527,0.17474666381602963,265.8498763039426,0.26293850774856736,340.32105716237254,0.301001877068622,437.33174822064143,50,0.05512622371315956,True
traffic_source_campaign_name_1034,target_business_005,50,35,8,0.47664878415435114,0.35540789078202156,92.08295352079652,,,,,50,0.14926347136497498,True
traffic_source_campaign_name_1091,target_business_002,66,46,11,0.2912379445059799,0.39510737745399005,60.351156585273536,0.18783355308595473,27.530283165322437,0.16932626200791115,23.98891685307398,50,0.15699714422225952,True
traffic_source_campaign_name_1093,target_business_002,71,49,12,0.3523790375701203,0.27156798991100184,71.27078417351439,0.14510631795663642,48.092875023318385,0.14912661648330433,48.91632498049042,50,0.1204870343208313,True
traffic_source_campaign_name_1095,target_business_002,137,95,22,0.21162541993110529,0.30481654375568396,81.48340203046274,0.2118295370515933,63.056824602408504,0.1892378812605585,59.39411858968408,50,0.040376510471105576,True
traffic_source_campaign_name_1098,target_business_002,125,87,20,0.2265617598594065,0.2708616643991309,108.99661242273051,0.17379873757965633,79.27336859886805,0.1810927568857066,80.8415521383458,50,0.09660796821117401,True
traffic_source_campaign_name_1099,target_business_002,176,123,27,0.23034343825310105,0.1519154559501207,77.06249326648657,0.13601486784061315,60.593826335820324,0.13753016684534505,59.123417279308875,50,0.03399823606014252,True
traffic_source_campaign_name_1184,target_business_002,59,41,10,0.4432085491808979,0.4070714485457733,68.98625182239205,0.22836262577735075,37.575084485373964,0.22836262577735075,37.575084485373964,50,0.15394575893878937,True
traffic_source_campaign_name_1251,target_business_002,68,47,11,0.4512423440840636,0.36654956276283673,60.39213416524293,0.33432626337282656,60.43505625287128,0.33432626337282656,60.43505625287128,50,0.18265917897224426,True
traffic_source_campaign_name_1258,target_business_002,97,67,16,0.3754474597708982,0.12656288422045886,60.123373890204725,0.12236592115644243,46.45239030071378,0.11034834128383181,43.21423982339435,50,0.04014766961336136,True
traffic_source_campaign_name_1266,target_business_002,50,35,8,0.38116249310581773,0.10429759731933935,22.427242483937405,,,,,50,0.057322908192873,True
traffic_source_campaign_name_1323,target_business_002,130,91,20,0.4581328800908206,0.09862304101740253,14.432875483198812,0.07828992768686617,12.671293028986128,0.08862554001975816,14.416818838160042,50,0.062257397919893265,True
traffic_source_campaign_name_1441,target_business_001,94,65,15,0.13925469256462936,0.11565107311201966,112.5834301248866,0.021359412704358816,19.33874882453029,0.020643279630296687,18.037594809792996,50,0.021672580391168594,True
traffic_source_campaign_name_1449,target_business_001,61,42,10,0.3527570704709384,0.2279692578053229,51.43951845853343,0.22592546961258572,49.33909300264068,0.18568642107513714,38.15906857104452,50,0.08778087049722672,True
traffic_source_campaign_name_1556,target_business_002,52,36,9,0.39586875533551286,0.19699171142225597,50.203435280775196,0.0519239423467418,11.799211988468398,0.0519239423467418,11.799211988468398,50,0.06969551742076874,True
